Título,URL,Descrição,Palavras-chave,Habilidade(s) - BNCC,Tipos de Mídias,Disciplina,Temas Curriculares,Temas Transversais,"Etapas, anos e modalidades",Licenças de Uso,Idioma,Acessibilidade,Conectividade,Oferecido por,Produzido por,Etnias indígenas,Anos escolar,ID (não editar)
Fast Hangman -Adjectives & adverbs,http://www.manythings.org/hmjs/voa-adjadv.html,"Jogo interativo, semelhante ao jogo de forca. O objetivo é que os adjetivos e advérbios corretos sejam percebidos pelo jogador, por meio das dicas apresentadas em cada tentativa. Possibilita a análise linguística, checagem de hipóteses, memorização e ampliação do vocabulário.",game; vocabulary; spelling,EF08LI13,Jogo,Lingua inglesa,,,Ensino Fundamental,Copyright,,,Online,,Charles Kelly,,8º ano EF/9º ano EF,54b948e669702d490a711b00
Beat the keeper,http://learnenglish.britishcouncil.org/en/word-games/beat-keeper,"Jogo interativo com o objetivo acertar a maior quantidade de termos do vocabulário pertinente ao esporte Futebol. Possibilita a checagem de hipóteses, memorização e ampliação do vocabulário .",game; vocabulary; soccer; football,EF06LI17,Jogo,Lingua inglesa,,,Ensino Fundamental,Copyright,,,Online,,British Council,,6º ano EF/7º ano EF,54b948e869702d490a731b00
Spelloween,http://learnenglish.britishcouncil.org/en/word-games/spelloween,"Jogo interativo para treino ortográfico das palavras em inglês. A cada fase, o tipo de atividade muda e aumenta a dificuldade.",game; vocabulary,EF08LI13,Jogo,Lingua inglesa,,,Ensino Fundamental,Copyright,,,Online,,British Council,,8º ano EF/9º ano EF,54b948f169702d490a7b1b00
Food vocabulary,https://learnenglishkids.britishcouncil.org/en/word-games/food-1,"Jogo interativo com o objetivo de relacionar o vocabulário com as figuras referentes a comida. Possibilita a checagem de conhecimentos prévios, memorização e ampliação de vocabulário.",game; vocabulary,EF06LI17,Jogo,Lingua inglesa,,,Ensino Fundamental,Copyright,,,Online,,British Council,,6º ano EF/7º ano EF,54b948f269702d490a7c1b00
Draw a Stickman,http://www.drawastickman.com,"Jogo interativo para o desenvolvimento inicial de habilidades de leitura  e ampliação do repertório lexical dos alunos em Língua Inglesa. A partir das instruções do personagem, jogadores desenham os itens necessários para continuar a história.  ",game; reading comprehension,"EF06LI11, EF06LI21",Jogo,Lingua inglesa,,,Ensino Fundamental,Copyright,,,Online,,Hitcents.com,,6º ano EF/7º ano EF,54b9495969702d490aef1b00
English Way DVD 04,https://www.youtube.com/watch?v=QxP_adMbwBs&t=4s,"O curso de inglês English Way em DVDs lançado pela Editora Abril em 2009 ensina a língua por meio de uma sitcom. Os episódios acompanham Elena, uma estudante estrangeira que vai estudar inglês em Londres, e sua relação com sua anfitriã, Agatha. Os episódios duram cerca de 3 minutos e, ao final, há a explicação de algumas estruturas usadas nas interações. O DVD 04 traz 3 episódios que envolvem uma dramatização relacionada a viagem de (check-in, a bordo, alfândega etc.) com conversação e legendas em inglês. Ao final de cada episódio, há uma explicação sobre as estruturas usadas nas interações, por exemplo, o uso de ""would""para oferecer ou solicitar algo; o uso dos auxiliares “do” e “does”; do verbo modal ""can"" para falar de abilidades ou solicitar algo; e do verbo modal ""could"" para falar de abilidades no passado e solicitar algo educadamente.",video; watching; comprehension,"EF07LI03, EF07LI04, EF07LI20, EF07LI22",Vídeo,Lingua inglesa,,,,,Inglês,Legendas em inglês,Online,,Editora Abril,,,54b94b6b69702d490af11d00
English Way DVD 03,https://www.youtube.com/watch?v=MRao_qSY5to,"O curso de inglês English Way em DVDs lançado pela Editora Abril em 2009 ensina a língua por meio de uma sitcom. Os episódios acompanham Elena, uma estudante estrangeira quevai estudar inglês em Londres, e sua relação com sua anfitriã, Agatha. Os episódios duram cerca de 3 minutos e, ao final, há a explicação de algumas estruturas usadas nas interações. O DVD 03 traz três videoaulas, em média 10 minutos cada uma onde são abordadas situações como compras, passeios, e planos futuros. Ao final de cada episódio, são analisadas as estruturas (1) o plural dos nomes regulares e irregulares; artigo definido “the”; artigos indefinidos “a” e “an”. (2) Aspectos físicos; números de 13 a 30; meses do ano em inglês e  o uso de “do” e “does”. (3) números ordinais e presente contínuo.  ",video; watching; comprehension,"EF06LI17, EF06LI19, EF06LI20, EF06LI24",,Lingua inglesa,,,,,inglês,Legendas em inglês,Online,,Editora Abril,,,54b94b6d69702d490af21d00
English Way DVD 01,https://www.youtube.com/watch?v=pbYfsZC6mDg&t=4s,"O curso de inglês English Way em DVDs lançado pela Editora Abril em 2009 ensina a língua por meio de uma sitcom. Os episódios acompanham Elena, uma estudante estrangeira que vai estudar inglês em Londres, e sua relação com sua anfitriã, Agatha. Os episódios duram cerca de 3 minutos e, ao final, há a explicação de algumas estruturas usadas nas interações. No DVD 01 os personagens se encontram pela primeira vez, comprimentam-se e conversam sobre a família. Ao final, há a análise dos pronomes pessoais e presente simples de verbos regulares.  Há, ainda, a abordagem do verbo “to be” e sua forma contracta, cumprimentos  e o nome de cidades em inglês.  ",video; watching; comprehension,"EF06LI02, EF06LI03, EF06LI16, EF06LI17",Vídeo,Lingua inglesa,,,,,Inglês,Legendas em inglês,Online,,Editora Abril,,,54b94b7469702d490afc1d00
Apostrophes - Genitive case,http://esl.fis.edu/writing/apostrophes/q2_3.htm,"Exercitar o uso do caso genitivo (Genitive Case), através de um questionário de múltipla escolha com 32 questões.",s; possessive,EF06LI22,,Lingua inglesa,,,,,,,Online,,Frankfurt International School http://www.fis.edu,,,54b94b8069702d490a081e00
How much is this?,http://learnenglishkids.britishcouncil.org/en/fun-games/how-much,"Game que possibilita a aprendizagem da expressão How Much e conhecer as moedas e notas da Inglaterra de forma lúdica, através de um jogo onde crianças fazem compra em uma loja de brinquedos.",how much,EF06LI11,jogo,Lingua inglesa,,,,,,Legendas em inglês,Online,,British Council,,,54b94bac69702d490a361e00
Simple present –  to be (negative sentences),http://esl.fis.edu/grammar/single/first2.htm,"Possibilita exercitar as formas AM, IS e ARE do verbo TO BE (negative sentences), através de atividades de preenchimentos de lacunas.",to be negative,EF06LI19,,Lingua inglesa,,,,,,,Online,,,,,54b94bb269702d490a3c1e00
Verbos irregulares,http://esl.fis.edu/grammar/verbs/6_r.htm,"Possibilita praticar o passado simples, particípio passado e gerúndio dos verbos irregulares, através de atividades de preenchimento de lacunas.",past simple; past participle; present participle; irregular verbs,EF07LI15,,Lingua inglesa,,,,,,,Online,,,,,54b94bbe69702d490a431e00
Sentence mix – verb to be,http://esl.fis.edu/grammar/single/first4.htm,"Possibilita exercitar as formas AM, IS e ARE do verbo TO BE nas formas afirmativa, negativa e interrogativa, através de atividades de preenchimento de lacunas.",simple present; verb to be,EF06LI19,,Lingua inglesa,,,,,,,Online,,Frankfurt International School,,,54b94bbf69702d490a441e00
Irregular verbs – quizz,http://esl.fis.edu/grammar/verbs/5.htm,"Possibilita exercitar as formas do passado simples e particípio passado dos 100 verbos irregulares mais utilizados, através de atividades de preenchimento de lacunas.",irregular verbs; simple past; past participle,EF07LI15,,Lingua inglesa,,,,,,,Online,,Frankfurt International School,,,54b94bc269702d490a461e00
Simple present –  to be (questions),http://esl.fis.edu/grammar/single/first3.htm,"Possibilita exercitar as formas AM, IS e ARE do verbo TO BE (interrogative form), através de atividades de preenchimento de lacunas.",simple present; verb to be; questions,EF06LI19,,Lingua inglesa,,,,,,,Online,,Frankfurt International School,,,54b94bcf69702d490a531e00
Fast food,http://listenaminute.com/f/fast_food.html,O objeto traz uma série de arquivos em áudio para a prática de listening do vocabulário “food” e “meals” assim como traz diferentes atividades para sistematizar o tema.,reading; spelling; fast food,"EF06LI09, EF06LI18",,Lingua inglesa,,,,,,,Online,,Sean Banville,,,54b94c4e69702d490ad01e00
Inglês com Música: Happy Xmas (War is Over) – John Lennon,http://www.youtube.com/watch?v=957OU44EGkc,"O programa “Inglês com música” veiculado pela TV Cultura, tem como objetivo de "" incentivar o aprendizado da língua inglesa de uma forma descontraída, por meio de letras de músicas e jogos entre equipes formadas por estudantes. As músicas são repetidas e traduzidas; em seguida, acontecem disputas entre dois times com atividades como: continuação da música, tradução e adivinhação. Neste programa, a música utilizada foi ""Happy Xmas (War is Over) de John Lennon.",song,EF08LI18,,Lingua inglesa,,,,Copyright,,,Online,,"TV Cultura, com a parceria entre a Univesp TV, o Centro Paula Souza e a Secretaria de Educação do Estado de SP.",,,54b94c6169702d490ae21e00
"There to be - present, past and future forms",http://esl.fis.edu/grammar/single/there_r.htm,"O objetivo possui o objetivo de treinar a questão gramatical com a estrutura do verbo ""there to be"" em frases afirmativas, negativas e interrogativas, no presente, passado e futuro.",there to be,EF08LI12,,Lingua inglesa,,,,Copyright,,,Online,,Frankfurt International School,,,54b94c6969702d490ae91e00
Inglês com musica – Time of my life (Dirty Dancing),http://www.youtube.com/watch?v=7yBzOTcg9ZQ,"O programa “Inglês com música” veiculado pela TV Cultura, tem como objetivo de "" incentivar o aprendizado da língua inglesa de uma forma descontraída, por meio de letras de músicas e jogos entre equipes formadas por estudantes. As músicas são repetidas e traduzidas; em seguida, acontecem disputas entre dois times com atividades como: continuação da música, tradução e adivinhação. O programa da 4ª temporada do Inglês com Música traz ""Time of my life"" (Dirty Dancing). Na edição diária Marisa Leite de Barros e Amanda Acosta trazem a pronúncia correta das palavras e a tradução de letras de canções famosas, além de divertidos games educativos.",song,EF08LI18,,Lingua inglesa,,,,copyright,,,Online,,"TV Cultura, com a parceria entre a Univesp TV, o Centro Paula Souza e a Secretaria de Educação do Estado de SP.",,,54b94c6e69702d490aed1e00
Inglês com Música: Pretty Woman – Roy Orbison,http://www.youtube.com/watch?v=SdzxLNizQCg,"O programa “Inglês com música” veiculado pela TV Cultura, tem como objetivo de "" incentivar o aprendizado da língua inglesa de uma forma descontraída, por meio de letras de músicas e jogos entre equipes formadas por estudantes. As músicas são repetidas e traduzidas; em seguida, acontecem disputas entre dois times com atividades como: continuação da música, tradução e adivinhação. Vídeo com objetivo de ensinar a Língua Inglesa com música e atividades lúdicas e reflexivas. Programa da 3ª temporada do Inglês com Música. Na edição diária Marisa Leite de Barros e Amanda Acosta trazem a pronúncia correta das palavras e a tradução de letras de canções famosas, além de divertidos games educativos. Neste programa, a música escolhida é ""Pretty Woman"", de Roy Orbison",song,EF08LI18,,Lingua inglesa,,,,copyright,,,Online,,"TV Cultura, com a parceria entre a Univesp TV, o Centro Paula Souza e a Secretaria de Educação do Estado de SP.",,,54b94c7369702d490af11e00
Classroom objects,http://www.educopedia.com.br/Cadastros/Atividade/Visualizar.aspx?pgn_id=101235&tipo=2,Atividade para apresentação e familiarização com termos da língua inglesa relacionados com materiais escolares. É necessário se inscrever no site para utilizá-lo.,classroom material; vocabulary,"EF06LI17, EF06LI11",,Lingua inglesa,,,,Atribuição 3.0 Brasil (CC BY 3.0 BR),,Aumentar e diminuir o texto e o contraste,Online,,SME-RJ EDUCOPÉDIA,,,54b94ca069702d490a241f00
Family,http://www.educopedia.com.br/Cadastros/Atividade/Visualizar.aspx?pgn_id=101214&tipo=2,"Atividade para apresentação e familiarização com termos da língua inglesa relacionados com membros de uma família. Inicialmente, há a apresentação de alguns membros da família e a pronúncia das palavras. Em seguida, são apresentadas outras palavras que rimam com elas, por exemplo ""boy""e ""toy"". É necessário se inscrever no site para utilizá-lo.",family; vocabulary,"EF06LI17, EF06LI11",,Lingua inglesa,,,,Atribuição 3.0 Brasil (CC BY 3.0 BR),,Aumentar e diminuir o texto e o contraste,Online,,SME-RJ EDUCOPÉDIA,,,54b94ca169702d490a251f00
Toys,http://www.educopedia.com.br/Cadastros/Atividade/Visualizar.aspx?pgn_id=101212&tipo=2,"Atividade para apresentação e familiarização com termos da língua inglesa relacionados com brinquedos. Primeiramente, são apresentados alguns brinquedos. Na atividade seguinte, o aluno deve ouvir/ler uma indicação e encontrar o brinquedo. É necessário se inscrever no site para utilizá-lo.",toys; vocabulary,"EF06LI17, EF06LI11",,Lingua inglesa,,,,Atribuição 3.0 Brasil (CC BY 3.0 BR),,Aumentar e diminuir o texto e o contraste,Online,,SME-RJ EDUCOPÉDIA,,,54b94ca269702d490a261f00
Children's Games,http://www.educopedia.com.br/Cadastros/Atividade/Visualizar.aspx?pgn_id=101210&tipo=2,Atividade para apresentação e familiarização com algumas brincadeiras típicas infantís. É necessário se inscrever no site para utilizá-lo.,children's games; vocabulary,"EF06LI17, EF06LI11",,Lingua inglesa,,,,Atribuição 3.0 Brasil (CC BY 3.0 BR),,Aumentar e diminuir o texto e o contraste,Online,,SME-RJ EDUCOPÉDIA,,,54b94ca369702d490a271f00
Boy or girl,http://www.educopedia.com.br/Cadastros/Atividade/Visualizar.aspx?pgn_id=101064&tipo=2,"Atividade para apresentação e familiarização com termos da língua inglesa ""boy""e ""girl"". É necessário se inscrever no site para utilizá-lo.",vocabulary,"EF06LI17, EF06LI11",,Lingua inglesa,,,,Atribuição 3.0 Brasil (CC BY 3.0 BR),,Aumentar e diminuir o texto e o contraste,Online,,SME-RJ EDUCOPÉDIA,,,54b94ca469702d490a281f00
Present continuous with Mr. Bean – Spring clean,https://www.youtube.com/watch?v=pDGcOBuHgYo,"Animação com o personagem Mr. Bean, que demonstra o uso do tempo verbal “Present Continuous”, de forma lúdica e divertida, contribuindo para a aquisição de repertório lexical e reconhecimento de estruturas gramaticais.",video; present continuous,"EF06LI11, EF06LI20, EF06LI17",Animação,Lingua inglesa,,,,Livre para uso e/ou compartilhamento,,Legendas em inglês,Online,,CBAMschool,,,54b94cc269702d490a701f00
Eu quero… (I want…),http://www.youtube.com/watch?v=rskFaiDIEwA,"Vídeo de divulgação para incentivar a adoção de gatos, trata da importância de conviver e respeitar os animais domésticos. Em inglês, com opção de legenda em português.",watching; want; pets,EF06LI11,vídeo,Lingua inglesa,,,,"usar, copiar ou distribuir",Inglês,Legendas em inglês e português,Online,,Animal Human Society,,,54b94d3369702d490a272000
Grammar quizzes – Present “to be”: positive statements,http://esl.fis.edu/grammar/single/first1.htm,"O objeto possibilita exercitar as formas am, is e are (verbo To Be).",present simple; verb to be; affirmative,"EF06LI11, EF06LI19",,Lingua inglesa,,,,copyright,,,Online,,7,,,54b9501b69702d490a3f2400
Urban dictionary,http://www.urbandictionary.com/,O Urban Dictionary é um dicionário online de produção/criação coletiva que traz a explicação em inglês de gírias e expressões idiomáticas.,online dictionary; monolingual dictionary; slang dictionary,"EF06LI10, EF06LI11",,Lingua inglesa,,,,crowdsourcing,inglês,,Online,,Aaron Peckham,,,54b9503469702d490a6c2400
School Vocabulary Game,http://www.eslgamesplus.com/school-vocabulary-game-practice-school-supplies-subjects-school-tools-and-actions/,"Jogo propõe o desenvolvimento e a ampliação do repertório lexical dos alunos a partir de uma perspectiva lúdica. Pode ser jogado individualmente ou com até 4 participantes. Abrange disciplinas, objetos e atividades escolares.",game; school vocabulary,"EF06LI11, EF06LI17",Jogo,Lingua inglesa,,,Ensino Fundamental,Copyright,inglês,,Online,,ESL Games +,,6º ano EF/7º ano EF,54b9768d69702d65e2840000
Easy vocabulary quizzes with pictures,http://www.manythings.org/vq/,"Cardápio de enigmas/testes sobre inúmeros temas envolvendo substantivos, verbos e adjetivos. Os alunos associam a imagem com a palavra, e para cada acerto recebem pontuação (score).",vocabulary; game,"EF06LI11, EF06LI17",Jogo,Lingua inglesa,,,Ensino Fundamental,Copyright,inglês,,Online,,Charles Kelly,,5º ano EF/6º ano EF,54b9775b69702d65e2bd0100
Food quiz,http://www.ego4u.com/en/chill-out/games/food-quiz,Quiz sobre vocabulário de alimentos. Os alunos relacionam a imagem do alimento com a palavra que representa o alimento. Proporciona o desenvolvimento da habilidade de leitura e escrita bem como a relação entre a imagem e a escrita.,game; vocabulary; food,"EF06LI11, EF06LI17",Jogo,Lingua inglesa,,,Ensino Fundamental,Copyright,,,Online,,Lingo4you,,6º ano EF/7º ano EF,54b9775f69702d65e2c30100
The every other letter game - Adjectives for people,http://www.manythings.org/vocabulary/games/c/words.php?f=adjectives_for_people_1,"Jogo em que o participante deverá descobrir qual a palavra misteriosa, completando as letras que faltam.",game; vocabulary; adjectives,"EF06LI11, EF06LI17",Jogo,Lingua inglesa,,,Ensino Fundamental,Copyright,inglês,,Online,,Charles Kelly e Lawrence Kelly,,6º ano EF/7º ano EF,54b9776269702d65e2c70100
English Grammar Game - Prepositions,http://www.marks-english-school.com/games/b_prepmed.html,Jogo online sobre a utilização de preposições em Inglês. O participante relaciona a sentença com a preposição correta e ao acertar o uso da preposição adquire pontos no jogo (simulando arremessos do jogo de basquetebol).,game; grammar; prepositions,"EF06LI11, EF06LI17",Jogo,Lingua inglesa,,,Ensino Fundamental,Copyright,inglês,,Online,,MES English,,6º ano EF/7º ano EF,54b9777f69702d65e2f00100
Numbers 1-12,http://www.digitaldialects.com/English/numbers_1I.htm,Digital dialects é um site que oferece games interativos para o desenvolvimento e ampliação do vocabulário. Este jogo trabalha com adição e subtração de números de 1 a 12.,game; vocabulary; numbers 1-12,"EF06LI11, EF06LI17",Jogo,Lingua inglesa,,,Ensino Fundamental,Copyright,,,Online,,Digital Dialects Language Learning Games,,6º ano EF/7º ano EF,54b9778769702d65e2f80100
Apple cake,http://www.cookinggames.com/apple-cake.html#?howtoplay,"Jogo interativo com objetivo de levar o aluno a seguir as instruções da receita para conseguir o objetivo final: um bolo virtualmente preparado. Possibilita a análise linguística, prática de leitura, memorização e ampliação do vocabulário.",vocabulary; food; recipe,"EF06LI11, EF06LI17, EF06LI08, EF06LI21",Jogo,Lingua inglesa,,,Ensino Fundamental,Copyright,inglês,,Offline (download),,Cool Games,,6º ano EF/7º ano EF,54b9779669702d65e2110200
Recycle city,http://www.epa.gov/recyclecity/,"O site explora o tema preservação do meio ambiente. No ambiente é disponibilizado atividades envolvendo a Língua Inglesa e a temática meio ambiente, educação ambiental, sustentabilidade e reciclagem. Uma das atividades mais significativas é o Game Dumptown´s New City Manager, o aluno deve observar quais estratégias para a diminuição da poluição em uma cidade.",game; recycling,"EF07LI09, EF07LI08, EF07LI07, EF07LI06",Jogo,Lingua inglesa,,,Ensino Fundamental,Copyright,inglês,,Online,,United States Environmental Protection Agency,,7º ano EF/8º ano EF,54b9779969702d65e2150200
Unscramble the words,http://www.vocabulary.co.il/word-play/unscramble-the-words/,"Jogo possibilita aos alunos o desenvolvimento do repertório lexical e a melhoria no processo da escrita de palavras em inglês. O aluno pode selecionar o tema, nível e o tempo de duração.",game; spelling,"EF06LI11, EF06LI17",Jogo,Lingua inglesa,,,Ensino Fundamental,Copyright,inglês,,Online,,Vocabulary Games and Resources,,6º ano EF/7º ano EF,54b977ae69702d65e22e0200
One Direction – You & I,http://lyricstraining.com/play/one_direction/you_i/HpBOeCaSHp#,Jogo traz a possibilidade de desenvolver com os alunos a compreensão das letras das músicas em Inglês. Os alunos participam de um “game” online por nível de proficiência da língua sobre a letra da música da banda One Direction – You & I.  O aluno deve ouvir e preencher as palavras faltando na letra. O game proporciona o desenvolvimento da habilidade de compreensão oral e a comparação entre a estrutura da língua materna e da língua inglesa.        ,game; song; fill in the gaps,"EF08LI18, EF07LI22, EF07LI21",Jogo,Lingua inglesa,,,,Copyright,,,Online,,LyricsTraining.com,,,54b977b169702d65e2310200
The plural girls,http://www.funbrain.com/plurals/index.html,Jogo interativo possibilita ao aluno o reconhecimento e a compreensão das palavras na forma singular e no plural. ,game; grammar; plural,"EF06LI11, EF06LI17",Jogo,Lingua inglesa,,,Ensino Fundamental,Copyright,inglês,,Online,,Funbrain Holding,,6º ano EF/7º ano EF,54b977b369702d65e2330200
English flash game – Halloween,http://englishflashgames.blogspot.com.br/2010/10/halloween-game.html,Jogo possibilita ao aluno conhecer o vocabulário específico do halloween bem como compreender a estrutura linguística do modo imperativo em inglês e as possibilidades de uso da língua para fornecer instruções e ordenar.      ,game; halloween; vocabulary,"EF06LI11, EF06LI17, EF06LI21",Jogo,Lingua inglesa,,,Ensino Fundamental,Copyright,inglês,,Online,,EnglishFlashGames,,6º ano EF/7º ano EF,54b977b469702d65e2350200
Adverbs of time frequency,http://www.manythings.org/vocabulary/games/j/words.php?f=adverbs_of_time_1,Jogo permite que alunos aumentem o vocabulário de advérbios de tempo. Pode ser jogado sozinho ou em pares.,game; vocabulary; adverbs; frequency,"EF06LI11, EF06LI17,EF06LI19",Jogo,Lingua inglesa,,,Ensino Fundamental,Copyright,inglês,,Online,,Charles Kelly e Lawrence Kelly,,6º ano EF/7º ano EF,54b977d969702d65e25a0200
My house – talking flascards,https://www.youtube.com/watch?v=mTSUSkSgvE4,"Animação que apresenta o vocabulário em inglês referente as partes externas de uma casa, com imagem, palavra e repetição.",vocabulary; house; pronunciation,"EF06LI11, EF06LI17, EF06LI18",Animação,Lingua inglesa,,,Ensino Fundamental,Livre para uso e/ou compartilhamento,inglês,legendas em inglês,Online,,Maple Leaf Learning,,5º ano EF/6º ano EF,54b977f969702d65e2790200
Let’s count to 20 – song for kids,https://www.youtube.com/watch?v=0VLxWIHRD4E,Vídeo musical que possibilita ao aluno o desenvolvimento do vocabulário em Inglês referente aos numerais de 1 – 20.,vocabulary; house; pronunciation,"EF06LI11, EF06LI17, EF06LI18",Vídeo,Lingua inglesa,,,Ensino Fundamental,Livre para uso e/ou compartilhamento,inglês,,Online,,Dream English Kids,,3º ano; 4º ano,54b977fc69702d65e27c0200
"The boarded window, de Ambrose Bierce",http://www.manythings.org/voa/stories/The_Boarded_Window_-_By_Ambrose_Bierce.html,"""American Stories for English Learners"" apresenta contos, fábulas e histórias americanas de autores consagrados como Edgar Allan Poe e Mark Twain com o texto escrito e arquivos em áudio MP3.",listening; reading; American stories; short stories,"EF08LI18, EF08LI07, EF08LI06, EF08LI05",Áudio,Lingua inglesa,,,,domínio público,inglês,,Online,,Voice of America,,,54b9780169702d65e2800200
Great Gatsby (2013) - watching,http://www.learnenglishfeelgood.com/eslvideo/esl_movieclip9.html,"O vídeo traz uma cena de cerca de 40 segundos do filme The Great Gatsby (2013) e perguntas de compreensão oral com alternativas de múltipla escolha. Há a opção de ativar as legendas em inglês e tocar novamente, se necessário.",the great gatsby; watching; comprehenstion,"EF08LI18, EF08LI06, EF08LI05, EF08LI02",Apresentação Multimídia; extrato de vídeo,Lingua inglesa,,,,CC BY-NC-ND,inglês,legendas em inglês,Online,,LearnEnglishFeelGood.com,,,54b9782569702d65e2ac0200
Kid's music,https://www.youtube.com/watch?v=ufyrxaQRZrg,"Músicas infantis típicas como: ""If you're happy and you know it, clap your hand"", ""Hokey Pokey"", ""Head, shoulders, knees and toes""etc.",children's songs,"EF06LI11, EF06LI17",video,Lingua inglesa,,,Ensino Fundamental,"permission of using, copying or distributing content",inglês,,Online,,HooplaKidz - Official Nursery Rhymes Channel,,6º ano ,54b9783c69702d65e2ca0200
"The selfish giant, de Oscar Wilde",http://www.classicfairytales.com/webisodes/325-selfish-giant-a-read-along-storybook,Vídeo com leitura interativa de contos dos irmãos Grimm e de Hans Christian Andersen e ainda há a possibilidade de acessar games sobre os personagens e temas dos contos.      ,listening; fairy tales; brothers Grimm,"EF08LI06, EF08LI07",Vídeo,Lingua inglesa,,,Ensino Fundamental,Copyright,inglês,,Online,,Kidoons Network,,5º ano EF/6º ano EF,54b9785169702d65e2e40200
